F200,11,13,1,1,1,1,0
F200,7,9,1,1,1,1,0
F200,9,11,0,1,0,1,0
F200,13,15,0,1,0,1,0
F200,9,12,0,0,0,0,1
F200,13,16,1,0,0,0,0
F200,16,19,1,0,0,0,0
F200,15,18,0,0,1,0,1
F200,15,17,0,1,0,1,0
F200A,13,16,0,1,0,0,0
F200A,11,13,1,1,1,1,1
F200A,7,9,1,1,1,1,1
F200A,9,11,1,1,1,1,1
F200A,16,19,1,0,0,0,0
F200A,21,23,0,0,0,0,1
F200A,19,21,1,1,0,0,0
F200A,17,19,0,0,1,0,1
F200A,13,15,1,0,1,0,0
F200A,13,17,0,0,0,1,0
F201,11,13,1,1,1,1,1
F201,21,23,0,0,0,0,1
F201,7,9,1,0,0,1,1
F201,17,19,1,0,1,0,0
F201,13,15,1,1,0,1,0
F201,15,17,1,0,1,0,1
F201,9,11,0,1,0,1,1
F201,7,11,0,0,1,0,0
F201,19,21,1,1,1,1,1
F201A,17,19,1,1,1,1,0
F201A,13,16,0,0,1,0,0
F201A,11,13,1,1,1,1,1
F201A,13,15,1,1,0,1,0
F201A,9,11,1,1,1,1,1
F201A,7,9,1,1,1,1,1
F201A,19,21,1,1,1,1,1
F201A,21,23,1,1,1,1,1
F202,13,15,1,1,1,1,0
F202,15,17,0,1,1,1,0
F202,7,9,1,1,1,1,1
F202,9,11,1,1,1,1,1
F202,19,21,0,1,1,1,1
F202,11,13,1,1,1,1,1
F202,21,23,1,1,1,1,1
F202,17,19,1,1,1,1,1
F206,17,19,1,1,1,1,0
F206,19,21,0,1,1,1,1
F206,15,17,1,1,1,1,0
F206,13,15,1,1,1,1,0
F206,11,13,1,1,1,1,1
F206,9,11,1,1,1,1,1
F206,7,9,1,1,1,1,1
F206,21,23,0,1,0,1,1
F300,9,11,1,1,1,1,1
F300,11,13,1,1,1,1,1
F300,19,21,1,1,1,0,0
F300,7,9,1,1,1,1,1
F300,21,23,1,0,0,0,0
F301,9,11,1,1,1,1,1
F301,7,9,1,1,1,0,1
F301,13,17,0,0,0,0,1
F301,11,13,1,1,1,1,0
F301,13,15,1,1,1,1,0
F301,17,19,1,1,1,1,1
F301,19,21,1,1,0,1,1
F301A,21,23,0,0,1,0,0
F301A,13,17,0,0,0,1,0
F301A,11,13,1,1,1,1,1
F301A,9,11,1,1,1,1,1
F301A,17,19,0,1,1,1,1
F301A,7,9,1,1,1,1,1
F301A,13,16,0,1,0,0,0
F301A,19,21,0,1,1,1,1
F301A,15,17,1,0,1,0,0
F301A,13,15,1,0,0,0,0
F301A,13,14,0,0,1,0,0
F302,11,13,1,1,1,1,1
F302,7,9,1,1,1,1,1
F302,9,11,1,1,1,1,1
F302,19,21,1,1,1,1,1
F302,21,23,0,1,0,0,0
F302,13,17,1,0,0,0,0
F302,13,15,0,1,1,1,1
F302,17,19,1,0,0,1,0
F302,15,17,0,1,1,1,0
F306,9,12,0,0,0,1,0
F306,13,16,0,0,0,1,0
F306,8,11,1,0,0,0,0
F306,9,13,0,1,0,0,0
F308,17,19,1,1,0,1,0
F308,7,9,1,1,1,1,1
F308,21,23,1,0,0,0,1
F308,19,21,1,0,0,0,1
F308,18,21,0,0,1,0,0
F308,15,17,1,1,1,1,0
F308,9,11,1,1,1,1,0
F308,11,13,1,1,1,1,0
F308,13,15,0,1,0,1,0
F308,10,13,0,0,0,0,1
F310,9,13,0,0,0,0,1
F310,16,19,0,1,0,0,0
F310,11,13,0,1,0,1,0
F310,7,9,1,1,1,1,1
F310,10,13,1,0,0,0,0
F310,13,15,1,1,1,1,1
F310,9,11,0,1,1,1,0
F310,15,17,1,0,1,0,1
F310,19,21,1,1,1,1,1
F310,21,23,1,0,0,0,0
F310,15,18,0,0,0,1,0
F310,17,19,1,0,1,0,0
F400,15,17,1,1,1,1,0
F400,13,15,0,1,1,1,0
F400,7,9,0,1,1,1,1
F400,11,13,1,1,1,1,1
F400,9,11,1,1,1,1,1
F400,19,21,1,1,1,1,1
F400,21,23,1,1,1,1,1
F400,17,19,1,1,1,1,0
F400A,13,15,1,1,0,1,0
F400A,15,17,1,1,1,1,0
F400A,11,13,0,1,1,0,1
F400A,21,23,0,0,1,0,0
F400A,7,9,0,1,1,1,1
F400A,9,11,1,1,1,0,1
F400A,17,19,1,0,0,0,0
F400A,18,21,0,0,1,1,0
F400A,13,14,0,0,1,0,0
F400A,9,13,0,0,0,1,0
F401,13,17,1,0,0,1,0
F401,9,11,1,1,1,1,1
F401,11,13,1,1,1,1,1
F401,19,21,1,1,1,1,1
F401,21,23,1,0,0,1,1
F401,7,9,1,1,1,1,1
F401,13,15,0,0,1,0,0
F401,16,19,0,1,0,0,0
F401,15,18,0,0,1,0,0
F402,17,19,1,1,1,1,0
F402,15,17,1,0,1,1,0
F402,11,13,1,1,1,1,1
F402,13,15,1,1,1,1,0
F402,7,9,0,1,1,1,1
F402,21,23,1,1,1,1,0
F402,19,21,0,1,1,1,1
F402,9,11,1,1,1,1,1
F406,19,21,1,1,0,0,0
F406,7,11,0,0,0,0,1
F406,17,19,1,0,1,0,0
F406,13,15,1,1,1,1,0
F406,15,17,1,1,1,1,1
F406,9,11,1,1,1,1,0
F406,7,9,1,1,1,0,0
F406,11,13,1,1,1,1,1
F408,16,19,1,1,1,1,0
F408,11,13,1,1,0,1,1
F408,13,16,1,1,1,1,0
F408,7,9,0,1,0,1,1
F408,9,11,1,1,0,1,1
F408,7,11,0,0,1,0,0
F408,19,21,1,0,1,1,0
F410,13,15,1,1,1,1,0
F410,11,13,1,1,1,1,1
F410,15,17,0,1,0,0,0
F410,19,21,1,1,1,1,1
F410,9,11,1,1,1,1,1
F410,21,23,1,1,1,1,1
F410,7,9,0,1,1,1,1
F410,17,19,0,1,0,0,0
