sala,inicio,fim,seg,ter,qua,qui,sex
I001,17,19,1,0,0,0,0
I001,17,19,0,0,1,0,0
L224,19,23,0,0,0,1,0
L118,19,23,0,1,0,0,0
L328,19,21,1,0,0,0,0
L328,19,21,0,0,1,0,0
I011,11,13,0,1,0,0,0
I011,11,13,0,0,0,1,0
F201A,17,19,1,0,0,0,0
F201A,17,19,0,0,1,0,0
L144,19,21,1,0,0,0,0
L144,19,21,0,0,1,0,0
RDC,17,19,1,0,0,0,0
RDC,17,19,0,0,1,0,0
I013,9,11,0,1,0,0,0
I013,9,11,0,0,0,1,0
I008,17,19,0,1,0,0,0
I008,17,19,0,0,0,1,0
I011,15,17,1,0,0,0,0
I011,15,17,0,0,1,0,0
F206,19,21,0,1,0,0,0
F206,19,21,0,0,0,1,0
I012,11,13,1,0,0,0,0
I012,11,13,0,0,1,0,0
I012,17,19,1,0,0,0,0
I012,17,19,0,0,1,0,0
L206,21,23,1,0,0,0,0
L206,21,23,0,0,1,0,0
L242,19,21,0,1,0,0,0
L242,19,21,0,0,0,1,0
I005,7,9,0,1,0,0,0
I005,7,9,0,0,0,1,0
I006,7,9,1,0,0,0,0
I006,7,9,0,0,1,0,0
L222,21,23,0,1,0,0,0
L222,21,23,0,0,0,1,0
L216,21,23,1,0,0,0,0
L216,21,23,0,0,1,0,0
L216,19,21,1,0,0,0,0
L216,19,21,0,0,1,0,0
L164,19,21,0,1,0,0,0
L164,19,21,0,0,0,1,0
I001,7,9,1,0,0,0,0
I001,7,9,0,0,1,0,0
L324,17,19,0,1,0,0,0
L324,17,19,0,0,0,1,0
L250,19,21,1,0,0,0,0
L250,19,21,0,0,1,0,0
L164,21,23,0,1,0,0,0
L164,21,23,0,0,0,1,0
L250,21,23,1,0,0,0,0
L250,21,23,0,0,1,0,0
I001,11,13,0,0,0,0,1
I011,17,19,0,0,0,0,1
L222,19,21,0,0,0,0,1
L150,21,23,1,0,0,0,0
I013,17,19,0,1,0,0,0
I013,17,19,0,0,0,1,0
I009,9,11,0,0,1,0,0
I013,11,13,0,0,0,0,1
I009,15,17,0,1,0,0,0
I009,15,17,0,0,0,1,0
I011,17,19,0,1,0,0,0
I011,17,19,0,0,0,1,0
I012,7,9,0,1,0,0,0
I012,7,9,0,0,0,1,0
I013,15,17,1,0,0,0,0
I013,15,17,0,0,1,0,0
I013,17,19,1,0,0,0,0
I013,17,19,0,0,1,0,0
L160,21,23,0,1,0,0,0
L160,21,23,0,0,0,1,0
I011,7,9,0,1,0,0,0
I011,7,9,0,0,0,1,0
I008,17,19,1,0,0,0,0
I008,17,19,0,0,1,0,0
L224,19,21,1,0,0,0,0
L224,19,21,0,0,1,0,0
L224,21,23,1,0,0,0,0
L224,21,23,0,0,1,0,0
I009,11,13,0,1,0,0,0
I009,11,13,0,0,0,1,0
I004,15,17,1,0,0,0,0
I004,15,17,0,0,1,0,0
L330,19,21,0,1,0,0,0
L330,19,21,0,0,0,1,0
L410,19,21,1,0,0,0,0
L410,19,21,0,0,1,0,0
I005,11,13,1,0,0,0,0
I005,11,13,0,0,1,0,0
I011,7,9,0,0,0,0,1
F206,17,19,0,1,0,0,0
F206,17,19,0,0,0,1,0
I001,17,19,0,0,0,0,1
L164,19,21,0,0,0,0,1
L250,19,21,0,0,0,0,1
I004,17,19,0,0,0,0,1
L206,19,21,1,0,0,0,0
L222,21,23,1,0,0,0,0
I002,9,11,0,0,0,0,1
I002,11,13,0,0,0,0,1
I001,11,13,0,1,0,0,0
I001,11,13,0,0,0,1,0
I012,17,19,0,1,0,0,0
I012,17,19,0,0,0,1,0
L110,19,21,0,1,0,0,0
L110,19,21,0,0,0,1,0
I012,11,13,0,0,0,0,1
I008,17,19,0,0,0,0,1
L332,19,21,0,0,0,0,1
I005,17,19,0,1,0,0,0
I005,17,19,0,0,0,1,0
L408,9,11,0,1,0,0,0
I007,9,11,0,0,0,1,0
L450,19,23,1,0,0,0,0
L514,19,21,0,1,0,0,0
L514,19,21,0,0,0,1,0
I004,17,19,1,0,0,0,0
I004,17,19,0,0,1,0,0
L506,19,21,1,0,0,0,0
L506,19,21,0,0,1,0,0
I007,19,22,0,0,1,0,0
I009,19,22,0,1,0,0,0
I006,19,22,0,0,0,1,0
I005,19,22,0,0,1,0,0
I005,19,22,0,1,0,0,0
I004,19,22,0,1,0,0,0
I007,19,22,0,0,0,1,0
I005,19,22,1,0,0,0,0
I004,19,22,0,0,1,0,0
I006,16,19,1,0,0,0,0
I006,19,22,0,1,0,0,0
I006,19,22,0,0,1,0,0
I003,19,22,0,0,0,1,0
I006,19,22,1,0,0,0,0
I007,16,19,0,0,0,1,0
I007,16,19,0,1,0,0,0
I006,16,19,0,1,0,0,0
I006,13,16,0,0,1,0,0
I006,16,19,0,0,1,0,0
LAC,15,19,1,0,0,0,0
I006,13,16,0,1,0,0,0
I006,13,16,0,0,0,1,0
I007,19,22,1,0,0,0,0
I001,17,19,0,1,0,0,0
I001,17,19,0,0,0,1,0
I003,17,19,0,1,0,0,0
I003,17,19,0,0,0,1,0
L452,19,23,1,0,0,0,0
L222,17,19,0,1,0,0,0
L222,17,19,0,0,0,1,0
L222,10,13,0,1,0,0,0
L222,10,13,0,0,0,1,0
L222,9,12,1,0,0,0,0
L542,9,12,0,0,1,0,0
L581,9,12,0,0,0,1,0
L222,7,9,1,0,0,0,0
L222,7,9,0,0,1,0,0
L658,7,9,1,0,0,0,0
L518,7,9,0,0,1,0,0
L658,11,13,0,0,0,1,0
L128,8,10,0,0,0,0,1
L512,13,16,0,0,1,0,0
L222,13,16,1,0,0,0,0
LAB,10,13,0,0,1,0,0
LAB,7,10,0,0,1,0,0
L128,13,19,1,0,0,0,0
L128,13,19,0,0,1,0,0
IMA3,13,19,1,0,0,0,0
IMA3,13,19,0,0,1,0,0
IMA3,13,19,0,1,0,0,0
IMA3,13,19,0,0,0,1,0
L128,13,19,0,1,0,0,0
L128,13,19,0,0,0,1,0
L128,7,13,0,1,0,0,0
L128,7,13,0,0,0,1,0
IMA3,7,13,0,1,0,0,0
IMA3,7,13,0,0,0,1,0
IMA3,7,13,1,0,0,0,0
L128,7,13,1,0,0,0,0
L128,7,13,0,0,1,0,0
IMA3,7,13,0,0,0,0,1
L338,8,12,0,0,0,0,1
IMA3,7,13,0,0,1,0,0
L658,13,17,0,0,1,0,0
L658,7,11,0,0,0,1,0
LAB,13,19,0,0,1,0,0
I003,13,15,0,0,1,0,0
L658,19,21,0,0,1,0,0
L278,11,13,0,0,0,0,1
LAB,9,12,1,0,0,0,0
RDC,9,12,1,0,0,0,0
RDC,13,16,0,0,0,1,0
LAB,9,13,0,0,0,1,0
RDC,14,18,1,0,0,0,0
RDC,10,13,0,0,0,1,0
F200A,13,16,0,1,0,0,0
RDC,9,12,0,1,0,0,0
LAB,9,12,0,1,0,0,0
LAB,15,19,0,0,0,0,1
L658,13,17,1,0,0,0,0
LAB,8,12,0,0,0,0,1
F310,9,13,0,0,0,0,1
L328,15,17,0,0,1,0,0
L524,19,21,0,0,1,0,0
RDC,13,16,0,1,0,0,0
LAB,14,17,0,0,0,1,0
L120,16,19,1,0,0,0,0
L664,14,16,0,0,0,1,0
F408,16,19,0,1,0,0,0
,13,16,0,1,0,0,0
,16,19,0,0,0,1,0
I008,15,17,0,1,0,0,0
I008,15,17,0,0,0,1,0
I003,15,17,0,1,0,0,0
I003,15,17,0,0,0,1,0
L422,15,17,0,1,0,0,0
L154,15,17,0,0,0,1,0
L658,10,13,0,0,1,0,0
L658,7,10,0,0,0,0,1
L658,10,13,0,0,0,0,1
I005,9,12,0,0,0,0,1
L128,16,19,0,0,0,0,1
L658,16,19,0,0,0,0,1
L128,10,13,0,0,0,0,1
IMA3,13,16,0,0,0,0,1
IMA3,16,19,0,0,0,0,1
RDC,9,12,0,0,0,0,1
RDC,13,16,0,0,0,0,1
RDC,16,19,0,0,0,0,1
L532,13,16,1,0,0,0,0
L232,16,19,1,0,0,0,0
ARTE3,13,16,1,0,0,0,0
ARTE3,16,19,1,0,0,0,0
ARTE4,13,16,1,0,0,0,0
ARTE2,13,16,1,0,0,0,0
ARTE2,16,19,1,0,0,0,0
L532,16,19,1,0,0,0,0
ARTE4,9,12,0,1,0,0,0
ARTE4,9,12,0,0,0,0,1
ARTE5,7,10,0,1,0,0,0
ARTE5,10,13,0,1,0,0,0
ARTE5,9,12,0,0,0,1,0
L542,15,17,0,0,1,0,0
L328,13,15,0,0,0,1,0
L328,15,17,0,0,0,1,0
L328,13,15,0,0,1,0,0
L328,17,19,0,0,1,0,0
ARTE5,17,19,0,0,0,1,0
ARTE3,15,17,0,0,0,0,1
ARTE4,17,19,0,0,0,1,0
ARTE1,7,9,0,1,0,0,0
ARTE3,13,15,0,0,0,0,1
ARTE4,9,11,0,0,0,1,0
LAB,13,15,1,0,0,0,0
IMA2,15,17,1,0,0,0,0
L232,7,9,0,0,0,1,0
L232,9,11,0,0,0,1,0
L120,13,15,0,0,1,0,0
L118,9,11,0,0,1,0,0
L120,13,15,1,0,0,0,0
ARTE1,7,11,0,0,0,0,1
LAB,7,11,0,0,0,0,1
ARTE1,11,14,0,0,0,0,1
L658,15,19,0,1,0,0,0
L658,15,19,0,0,0,1,0
L216,15,19,0,0,0,1,0
L222,13,15,0,1,0,0,0
L222,13,15,0,0,0,1,0
L658,13,15,0,1,0,0,0
L658,13,15,0,0,0,1,0
L570,13,15,0,1,0,0,0
L570,13,15,0,0,0,1,0
ARTE3,11,13,0,0,1,0,0
IMA2,11,13,0,0,0,0,1
IMA2,13,15,1,0,0,0,0
IMA2,13,15,0,0,1,0,0
L118,7,9,0,0,0,1,0
L774,10,12,0,0,0,0,1
L224,13,15,0,0,1,0,0
L658,9,13,0,1,0,0,0
DPTO,11,13,0,1,0,0,0
DPTO,11,13,0,0,0,0,1
LAB,11,13,0,0,0,0,1
DPTO,9,13,0,0,0,1,0
L118,16,19,0,0,0,0,1
L422,16,19,0,0,0,1,0
F610,13,16,1,0,0,0,0
,13,16,1,0,0,0,0
DPTO,13,16,1,0,0,0,0
L518,13,16,0,1,0,0,0
DPTO,13,16,0,1,0,0,0
F310,16,19,0,1,0,0,0
L154,16,19,0,0,1,0,0
DPTO,16,19,0,0,1,0,0
L216,15,17,1,0,0,0,0
L216,15,17,0,0,1,0,0
L216,17,19,1,0,0,0,0
L216,17,19,0,0,1,0,0
LAB,9,13,1,0,0,0,0
LAB,13,17,0,1,0,0,0
DPTO,11,13,0,0,1,0,0
L528,11,13,0,1,0,0,0
L528,11,13,0,0,0,1,0
L570,9,11,0,0,1,0,0
L570,11,13,0,0,0,0,1
L520,9,11,0,1,0,0,0
L520,9,11,0,0,0,1,0
DPTO,9,13,0,0,1,0,0
DPTO,13,19,0,0,0,1,0
DPTO,7,13,0,1,0,0,0
DPTO,13,19,0,1,0,0,0
F401,13,17,0,0,0,1,0
LAB,13,17,0,0,0,1,0
DPTO,13,19,0,0,0,0,1
DPTO,7,13,0,0,0,1,0
