sala,inicio,fim,seg,ter,qua,qui,sex
K616,17,19,0,0,0,0,1
K613,17,19,1,0,0,0,0
K610,17,19,0,0,0,0,1
K615,17,19,1,0,0,0,0
K612,17,19,0,0,0,0,1
K617,17,19,1,0,0,0,0
K614,17,19,0,0,0,0,1
K610,17,19,1,0,0,0,0
K611,17,19,0,0,0,0,1
K616,13,15,1,0,0,0,0
K611,13,15,0,0,1,0,0
K116,13,15,1,0,0,0,0
K612,13,15,0,0,1,0,0
K114,13,15,1,0,0,0,0
K614,13,15,0,0,1,0,0
K614,13,15,1,0,0,0,0
K615,13,15,0,0,1,0,0
K612,13,15,1,0,0,0,0
K618,13,15,0,0,1,0,0
K116,15,17,1,0,0,0,0
K612,15,17,0,0,1,0,0
K114,15,17,1,0,0,0,0
K614,15,17,0,0,1,0,0
K614,15,17,1,0,0,0,0
K615,15,17,0,0,1,0,0
K612,15,17,1,0,0,0,0
K618,15,17,0,0,1,0,0
K616,17,19,1,0,0,0,0
K611,17,19,0,0,1,0,0
K116,17,19,1,0,0,0,0
K612,17,19,0,0,1,0,0
K114,17,19,1,0,0,0,0
K614,17,19,0,0,1,0,0
K614,17,19,1,0,0,0,0
K615,17,19,0,0,1,0,0
K612,17,19,1,0,0,0,0
K618,17,19,0,0,1,0,0
K108,13,15,0,1,0,0,0
K108,13,15,0,0,0,1,0
K110,13,15,0,1,0,0,0
K110,13,15,0,0,0,1,0
K112,13,15,0,1,0,0,0
K112,13,15,0,0,0,1,0
K108,15,17,0,1,0,0,0
K108,15,17,0,0,0,1,0
K110,15,17,0,1,0,0,0
K110,15,17,0,0,0,1,0
K112,15,17,0,1,0,0,0
K112,15,17,0,0,0,1,0
K108,17,19,0,1,0,0,0
K108,17,19,0,0,0,1,0
K110,17,19,0,1,0,0,0
K110,17,19,0,0,0,1,0
K112,17,19,0,1,0,0,0
K112,17,19,0,0,0,1,0
K114,13,15,0,1,0,0,0
K114,13,15,0,0,0,1,0
K116,13,15,0,1,0,0,0
K116,13,15,0,0,0,1,0
K103,13,15,0,1,0,0,0
K103,13,15,0,0,0,1,0
K114,15,17,0,1,0,0,0
K114,15,17,0,0,0,1,0
K116,15,17,0,1,0,0,0
K116,15,17,0,0,0,1,0
K103,15,17,0,1,0,0,0
K103,15,17,0,0,0,1,0
K114,17,19,0,1,0,0,0
K114,17,19,0,0,0,1,0
K116,17,19,0,1,0,0,0
K116,17,19,0,0,0,1,0
K103,17,19,0,1,0,0,0
K103,17,19,0,0,0,1,0
K120,13,15,0,1,0,0,0
K120,13,15,0,0,0,1,0
K122,13,15,0,1,0,0,0
K122,13,15,0,0,0,1,0
K124,13,15,0,1,0,0,0
K124,13,15,0,0,0,1,0
K120,15,17,0,1,0,0,0
K120,15,17,0,0,0,1,0
K122,15,17,0,1,0,0,0
K122,15,17,0,0,0,1,0
K124,15,17,0,1,0,0,0
K124,15,17,0,0,0,1,0
K120,17,19,0,1,0,0,0
K120,17,19,0,0,0,1,0
K122,17,19,0,1,0,0,0
K122,17,19,0,0,0,1,0
K124,17,19,0,1,0,0,0
K124,17,19,0,0,0,1,0
K614,13,15,0,1,0,0,0
K614,13,15,0,0,0,1,0
K616,13,15,0,1,0,0,0
K611,13,15,0,0,0,1,0
K514,13,15,0,1,0,0,0
K514,13,15,0,0,0,1,0
K612,13,15,0,1,0,0,0
K612,13,15,0,0,0,1,0
K611,13,15,0,1,0,0,0
K616,13,15,0,0,0,1,0
K614,15,17,0,1,0,0,0
K614,15,17,0,0,0,1,0
K616,15,17,0,1,0,0,0
K611,15,17,0,0,0,1,0
K514,15,17,0,1,0,0,0
K514,15,17,0,0,0,1,0
K612,15,17,0,1,0,0,0
K612,15,17,0,0,0,1,0
K611,15,17,0,1,0,0,0
K616,15,17,0,0,0,1,0
K614,17,19,0,1,0,0,0
K614,17,19,0,0,0,1,0
K616,17,19,0,1,0,0,0
K611,17,19,0,0,0,1,0
K514,17,19,0,1,0,0,0
K514,17,19,0,0,0,1,0
K612,17,19,0,1,0,0,0
K612,17,19,0,0,0,1,0
K611,17,19,0,1,0,0,0
K616,17,19,0,0,0,1,0
K126,13,15,0,1,0,0,0
K126,13,15,0,0,0,1,0
K128,13,15,0,1,0,0,0
K128,13,15,0,0,0,1,0
K104,13,15,0,1,0,0,0
K104,13,15,0,0,0,1,0
K126,15,17,0,1,0,0,0
K126,15,17,0,0,0,1,0
K128,15,17,0,1,0,0,0
K128,15,17,0,0,0,1,0
K104,15,17,0,1,0,0,0
K104,15,17,0,0,0,1,0
K126,17,19,0,1,0,0,0
K126,17,19,0,0,0,1,0
K128,17,19,0,1,0,0,0
K128,17,19,0,0,0,1,0
K104,17,19,0,1,0,0,0
K104,17,19,0,0,0,1,0
K101,13,15,1,0,0,0,0
K120,13,15,0,0,0,0,1
K103,13,15,1,0,0,0,0
K122,13,15,0,0,0,0,1
K104,13,15,1,0,0,0,0
K124,13,15,0,0,0,0,1
K101,15,17,1,0,0,0,0
K120,15,17,0,0,0,0,1
K103,15,17,1,0,0,0,0
K122,15,17,0,0,0,0,1
K104,15,17,1,0,0,0,0
K124,15,17,0,0,0,0,1
K101,17,19,1,0,0,0,0
K120,17,19,0,0,0,0,1
K103,17,19,1,0,0,0,0
K122,17,19,0,0,0,0,1
K104,17,19,1,0,0,0,0
K124,17,19,0,0,0,0,1
K615,13,15,0,1,0,0,0
K615,13,15,0,0,0,1,0
K117,13,15,0,1,0,0,0
K117,13,15,0,0,0,1,0
K615,15,17,0,1,0,0,0
K615,15,17,0,0,0,1,0
DPTO,15,17,0,1,0,0,0
DPTO,15,17,0,0,0,1,0
K117,15,17,0,1,0,0,0
K117,15,17,0,0,0,1,0
K615,17,19,0,1,0,0,0
K615,17,19,0,0,0,1,0
K117,17,19,0,1,0,0,0
K117,17,19,0,0,0,1,0
K113,13,15,0,1,0,0,0
K113,13,15,0,0,0,1,0
K101,13,15,0,1,0,0,0
K101,13,15,0,0,0,1,0
K118,13,15,0,1,0,0,0
K118,13,15,0,0,0,1,0
K113,15,17,0,1,0,0,0
K113,15,17,0,0,0,1,0
K101,15,17,0,1,0,0,0
K101,15,17,0,0,0,1,0
K118,15,17,0,1,0,0,0
K118,15,17,0,0,0,1,0
K113,17,19,0,1,0,0,0
K113,17,19,0,0,0,1,0
K101,17,19,0,1,0,0,0
K101,17,19,0,0,0,1,0
K118,17,19,0,1,0,0,0
K118,17,19,0,0,0,1,0
RDC,7,9,1,0,0,0,0
RDC,7,9,0,0,1,0,0
RDC,9,11,1,0,0,0,0
RDC,9,11,0,0,1,0,0
K610,11,13,1,0,0,0,0
K617,11,13,0,0,1,0,0
RDC,9,11,0,1,0,0,0
RDC,9,11,0,0,0,1,0
RDC,11,13,0,1,0,0,0
RDC,11,13,0,0,0,1,0
K514,7,9,0,1,0,0,0
K514,7,9,0,0,0,1,0
K514,9,11,0,1,0,0,0
K514,9,11,0,0,0,1,0
K514,11,13,0,1,0,0,0
K514,11,13,0,0,0,1,0
K514,9,11,1,0,0,0,0
K514,9,11,0,0,1,0,0
K514,11,13,1,0,0,0,0
K514,11,13,0,0,1,0,0
K104,7,9,1,0,0,0,0
K104,7,9,0,0,1,0,0
K104,9,11,1,0,0,0,0
K104,9,11,0,0,1,0,0
K104,11,13,1,0,0,0,0
K104,11,13,0,0,1,0,0
K104,7,9,0,1,0,0,0
K104,7,9,0,0,0,1,0
K104,9,11,0,1,0,0,0
K104,9,11,0,0,0,1,0
K104,11,13,0,1,0,0,0
K104,11,13,0,0,0,1,0
K612,7,9,1,0,0,0,0
K615,7,9,0,0,1,0,0
K613,7,9,1,0,0,0,0
K610,7,9,0,0,1,0,0
K612,9,11,1,0,0,0,0
K615,9,11,0,0,1,0,0
K613,9,11,1,0,0,0,0
K610,9,11,0,0,1,0,0
K612,11,13,1,0,0,0,0
K615,11,13,0,0,1,0,0
K613,11,13,1,0,0,0,0
K610,11,13,0,0,1,0,0
K615,7,9,0,1,0,0,0
K615,7,9,0,0,0,1,0
K615,9,11,0,1,0,0,0
K615,9,11,0,0,0,1,0
K128,9,11,0,1,0,0,0
K128,9,11,0,0,0,1,0
K128,11,13,0,1,0,0,0
K128,11,13,0,0,0,1,0
K616,9,11,1,0,0,0,0
K615,9,11,0,0,0,0,1
K616,11,13,1,0,0,0,0
K615,11,13,0,0,0,0,1
K114,9,11,0,0,1,0,0
K126,9,11,0,0,0,0,1
K114,11,13,0,0,1,0,0
K126,11,13,0,0,0,0,1
K610,7,9,0,1,0,0,0
K610,7,9,0,0,0,1,0
K610,9,11,0,1,0,0,0
K610,9,11,0,0,0,1,0
K615,11,13,0,1,0,0,0
K610,11,13,0,0,0,1,0
K611,7,9,1,0,0,0,0
K610,7,9,0,0,0,0,1
K611,9,11,1,0,0,0,0
K610,9,11,0,0,0,0,1
K611,11,13,1,0,0,0,0
K610,11,13,0,0,0,0,1
K616,7,9,0,0,1,0,0
K616,7,9,0,0,0,0,1
K616,9,11,0,0,1,0,0
K616,9,11,0,0,0,0,1
K616,11,13,0,0,1,0,0
K616,11,13,0,0,0,0,1
K512,7,9,0,1,0,0,0
K512,7,9,0,0,0,1,0
K512,9,11,0,1,0,0,0
K512,9,11,0,0,0,1,0
K512,11,13,0,1,0,0,0
K512,11,13,0,0,0,1,0
K512,7,9,0,0,1,0,0
K512,7,9,0,0,0,0,1
K512,9,11,0,0,1,0,0
K512,9,11,0,0,0,0,1
K512,11,13,0,0,1,0,0
K512,11,13,0,0,0,0,1
K614,9,11,1,0,0,0,0
K614,9,11,0,0,0,0,1
K614,11,13,1,0,0,0,0
K614,11,13,0,0,0,0,1
K616,7,9,0,1,0,0,0
K617,7,9,0,0,0,1,0
RDC,7,9,0,1,0,0,0
RDC,7,9,0,0,0,1,0
K614,7,9,0,1,0,0,0
K614,7,9,0,0,0,1,0
K614,9,11,0,1,0,0,0
K614,9,11,0,0,0,1,0
K614,11,13,0,1,0,0,0
K614,11,13,0,0,0,1,0
K514,7,9,0,0,1,0,0
K614,7,9,0,0,0,0,1
K122,9,11,0,1,0,0,0
K122,9,11,0,0,0,1,0
K101,9,11,0,1,0,0,0
K101,9,11,0,0,0,1,0
K122,11,13,0,1,0,0,0
K122,11,13,0,0,0,1,0
K117,11,13,0,1,0,0,0
K117,11,13,0,0,0,1,0
K103,9,11,0,1,0,0,0
K103,9,11,0,0,0,1,0
K618,7,9,1,0,0,0,0
K618,7,9,0,0,1,0,0
K618,9,11,1,0,0,0,0
K618,9,11,0,0,1,0,0
K108,7,9,1,0,0,0,0
K108,7,9,0,0,1,0,0
K108,9,11,1,0,0,0,0
K108,9,11,0,0,1,0,0
K108,11,13,1,0,0,0,0
K108,11,13,0,0,1,0,0
K101,9,11,0,0,1,0,0
K101,9,11,0,0,0,0,1
K123,11,13,0,0,1,0,0
K123,11,13,0,0,0,0,1
K615,7,9,1,0,0,0,0
K614,7,9,0,0,1,0,0
K615,9,11,1,0,0,0,0
K614,9,11,0,0,1,0,0
K615,11,13,1,0,0,0,0
K614,11,13,0,0,1,0,0
K613,7,9,0,1,0,0,0
K613,7,9,0,0,0,1,0
K108,9,11,0,1,0,0,0
K108,9,11,0,0,0,1,0
K108,11,13,0,1,0,0,0
K108,11,13,0,0,0,1,0
K124,9,11,0,1,0,0,0
K124,9,11,0,0,0,1,0
K124,11,13,0,1,0,0,0
K124,11,13,0,0,0,1,0
K512,7,9,1,0,0,0,0
K611,7,9,0,0,1,0,0
K512,9,11,1,0,0,0,0
K611,9,11,0,0,1,0,0
K512,11,13,1,0,0,0,0
K611,11,13,0,0,1,0,0
K123,7,9,0,1,0,0,0
K123,7,9,0,0,0,1,0
K123,9,11,0,1,0,0,0
K123,9,11,0,0,0,1,0
K126,9,11,0,1,0,0,0
K126,9,11,0,0,0,1,0
K124,7,9,0,1,0,0,0
K124,7,9,0,0,0,1,0
K120,9,11,1,0,0,0,0
K120,9,11,0,0,1,0,0
K120,11,13,1,0,0,0,0
K120,11,13,0,0,1,0,0
K114,9,11,0,1,0,0,0
K114,9,11,0,0,0,1,0
K114,11,13,0,1,0,0,0
K114,11,13,0,0,0,1,0
K122,7,9,1,0,0,0,0
K122,7,9,0,0,1,0,0
K120,7,9,1,0,0,0,0
K120,7,9,0,0,1,0,0
K122,9,11,1,0,0,0,0
K122,9,11,0,0,1,0,0
K122,11,13,1,0,0,0,0
K122,11,13,0,0,1,0,0
K124,9,11,1,0,0,0,0
K124,9,11,0,0,1,0,0
K124,11,13,1,0,0,0,0
K124,11,13,0,0,1,0,0
K118,7,9,0,1,0,0,0
K118,7,9,0,0,0,1,0
K118,9,11,0,1,0,0,0
K118,9,11,0,0,0,1,0
K120,7,9,0,1,0,0,0
K120,7,9,0,0,0,1,0
K120,9,11,0,1,0,0,0
K120,9,11,0,0,0,1,0
K101,11,13,0,1,0,0,0
K101,11,13,0,0,0,1,0
K120,11,13,0,1,0,0,0
K120,11,13,0,0,0,1,0
K112,7,9,0,1,0,0,0
K112,7,9,0,0,0,1,0
K112,9,11,0,1,0,0,0
K112,9,11,0,0,0,1,0
K112,11,13,0,1,0,0,0
K112,11,13,0,0,0,1,0
K118,11,13,0,1,0,0,0
K118,11,13,0,0,0,1,0
K116,7,9,0,0,1,0,0
K116,7,9,0,0,0,0,1
K116,9,11,0,0,1,0,0
K116,9,11,0,0,0,0,1
K123,9,11,0,0,1,0,0
K123,9,11,0,0,0,0,1
K116,11,13,0,0,1,0,0
K116,11,13,0,0,0,0,1
K617,9,11,0,1,0,0,0
K616,9,11,0,0,0,1,0
K616,9,11,0,1,0,0,0
K617,9,11,0,0,0,1,0
K617,11,13,0,1,0,0,0
K616,11,13,0,0,0,1,0
K616,11,13,0,1,0,0,0
K617,11,13,0,0,0,1,0
K617,7,9,0,1,0,0,0
K616,7,9,0,0,0,1,0
K612,7,9,0,1,0,0,0
K612,7,9,0,0,0,1,0
K612,9,11,0,1,0,0,0
K612,9,11,0,0,0,1,0
K612,11,13,0,1,0,0,0
K612,11,13,0,0,0,1,0
K612,7,9,0,0,1,0,0
K612,7,9,0,0,0,0,1
K612,9,11,0,0,1,0,0
K612,9,11,0,0,0,0,1
K612,11,13,0,0,1,0,0
K612,11,13,0,0,0,0,1
K613,7,9,0,0,1,0,0
K108,7,9,0,0,0,0,1
K613,9,11,0,0,1,0,0
K108,9,11,0,0,0,0,1
K110,9,11,0,0,1,0,0
K110,9,11,0,0,0,0,1
K613,11,13,0,0,1,0,0
K108,11,13,0,0,0,0,1
K110,11,13,0,0,1,0,0
K110,11,13,0,0,0,0,1
K112,7,9,0,0,1,0,0
K104,7,9,0,0,0,0,1
K112,9,11,0,0,1,0,0
K104,9,11,0,0,0,0,1
K112,11,13,0,0,1,0,0
K104,11,13,0,0,0,0,1
K112,7,9,1,0,0,0,0
K112,7,9,0,0,0,0,1
K112,9,11,1,0,0,0,0
K112,9,11,0,0,0,0,1
K112,11,13,1,0,0,0,0
K112,11,13,0,0,0,0,1
K101,7,9,0,1,0,0,0
K101,7,9,0,0,0,1,0
K116,7,9,0,1,0,0,0
K116,7,9,0,0,0,1,0
K116,9,11,0,1,0,0,0
K116,9,11,0,0,0,1,0
K116,11,13,0,1,0,0,0
K116,11,13,0,0,0,1,0
K103,7,9,0,0,0,0,1
I003,9,11,0,0,0,0,1
L324,7,9,0,0,1,0,0
K120,7,9,0,0,0,0,1
K113,17,19,1,0,0,0,0
K113,15,17,1,0,0,0,0
K105,13,15,0,0,0,0,1
K105,15,17,0,0,0,0,1
DPTO,11,13,0,1,0,0,0
DPTO,11,13,0,0,0,1,0
DPTO,9,11,0,0,1,0,0
DPTO,9,11,0,0,0,0,1
DPTO,13,15,0,1,0,0,0
DPTO,13,15,0,0,0,1,0
DPTO,9,11,0,1,0,0,0
DPTO,9,11,0,0,0,1,0
DPTO,13,15,1,0,0,0,0
DPTO,13,15,0,0,1,0,0
DPTO,11,13,1,0,0,0,0
DPTO,11,13,0,0,1,0,0
DPTO,13,15,0,0,1,0,0
DPTO,13,15,0,0,0,0,1
DPTO,11,13,1,0,0,0,0
DPTO,11,13,0,0,0,0,1
DPTO,13,16,0,0,1,0,0
K617,13,16,0,0,0,1,0
K124,13,16,1,0,0,0,0
K617,13,16,0,1,0,0,0
K617,16,19,0,0,1,0,0
K618,16,19,1,0,0,0,0
DPTO,16,19,0,1,0,0,0
K123,13,15,0,0,1,0,0
K123,13,15,0,0,0,0,1
L452,7,11,0,0,0,0,1
L542,7,9,1,0,0,0,0
L542,7,9,0,0,1,0,0
L328,7,9,1,0,0,0,0
L328,7,9,0,0,1,0,0
L442,9,11,1,0,0,0,0
L442,9,11,0,0,1,0,0
L332,9,11,1,0,0,0,0
L332,9,11,0,0,1,0,0
L442,11,13,1,0,0,0,0
L442,11,13,0,0,1,0,0
L324,11,13,1,0,0,0,0
L324,11,13,0,0,1,0,0
L520,13,15,1,0,0,0,0
L520,13,15,0,0,1,0,0
L324,13,15,1,0,0,0,0
L324,13,15,0,0,1,0,0
L332,13,15,1,0,0,0,0
L332,13,15,0,0,1,0,0
L520,15,17,1,0,0,0,0
L520,15,17,0,0,1,0,0
L462,15,17,1,0,0,0,0
L462,15,17,0,0,1,0,0
L454,17,19,1,0,0,0,0
L454,17,19,0,0,1,0,0
L224,17,19,1,0,0,0,0
L224,17,19,0,0,1,0,0
L520,17,19,1,0,0,0,0
L520,17,19,0,0,1,0,0
L454,19,21,1,0,0,0,0
L454,19,21,0,0,1,0,0
L332,7,9,0,1,0,0,0
L332,7,9,0,0,0,1,0
L454,7,9,0,1,0,0,0
L454,7,9,0,0,0,1,0
L324,9,11,0,1,0,0,0
L324,9,11,0,0,0,1,0
I004,9,11,0,1,0,0,0
I008,9,11,0,0,0,1,0
L324,11,13,0,1,0,0,0
L324,11,13,0,0,0,1,0
L454,11,13,0,1,0,0,0
L454,11,13,0,0,0,1,0
L428,13,15,0,1,0,0,0
L428,13,15,0,0,0,1,0
F502,13,15,0,1,0,0,0
F502,13,15,0,0,0,1,0
L330,13,15,0,1,0,0,0
L330,13,15,0,0,0,1,0
L332,15,17,0,1,0,0,0
L332,15,17,0,0,0,1,0
L330,15,17,0,1,0,0,0
L330,15,17,0,0,0,1,0
L454,15,17,0,1,0,0,0
L454,15,17,0,0,0,1,0
L442,15,17,0,1,0,0,0
L442,15,17,0,0,0,1,0
L336,17,19,0,1,0,0,0
L336,17,19,0,0,0,1,0
L332,17,19,0,1,0,0,0
L332,17,19,0,0,0,1,0
L454,17,19,0,1,0,0,0
L454,17,19,0,0,0,1,0
L454,19,21,0,1,0,0,0
L454,19,21,0,0,0,1,0
F610,13,17,0,0,1,0,0
L528,11,13,0,0,1,0,0
L528,11,13,0,0,0,0,1
L332,11,13,0,0,1,0,0
L332,11,13,0,0,0,0,1
L454,11,13,1,0,0,0,0
L454,11,13,0,0,1,0,0
L510,15,19,1,0,0,0,0
L330,17,19,0,1,0,0,0
L330,17,19,0,0,0,1,0
L442,13,15,1,0,0,0,0
L442,13,15,0,0,1,0,0
L222,15,17,0,1,0,0,0
L224,15,17,0,0,0,1,0
L330,15,17,1,0,0,0,0
L330,15,17,0,0,1,0,0
L454,7,9,1,0,0,0,0
L454,7,9,0,0,1,0,0
L330,7,9,1,0,0,0,0
L330,7,9,0,0,1,0,0
L330,9,11,1,0,0,0,0
L330,9,11,0,0,1,0,0
L330,11,13,1,0,0,0,0
L330,11,13,0,0,1,0,0
L414,11,13,1,0,0,0,0
L414,11,13,0,0,1,0,0
L454,13,15,1,0,0,0,0
L454,13,15,0,0,1,0,0
L410,13,15,1,0,0,0,0
L410,13,15,0,0,1,0,0
L324,15,17,1,0,0,0,0
L324,15,17,0,0,1,0,0
L442,15,17,1,0,0,0,0
L442,15,17,0,0,1,0,0
L332,17,19,1,0,0,0,0
L332,17,19,0,0,1,0,0
L442,17,19,1,0,0,0,0
L442,17,19,0,0,1,0,0
L332,19,21,1,0,0,0,0
L332,19,21,0,0,1,0,0
L330,7,9,0,1,0,0,0
L330,7,9,0,0,0,1,0
L144,7,9,0,1,0,0,0
L144,7,9,0,0,0,1,0
L324,7,9,0,1,0,0,0
L324,7,9,0,0,0,1,0
L442,9,11,0,1,0,0,0
L442,9,11,0,0,0,1,0
L332,9,11,0,1,0,0,0
L332,9,11,0,0,0,1,0
L442,11,13,0,1,0,0,0
L442,11,13,0,0,0,1,0
L330,11,13,0,1,0,0,0
L330,11,13,0,0,0,1,0
L454,13,15,0,1,0,0,0
L454,13,15,0,0,0,1,0
L324,13,15,0,1,0,0,0
L324,13,15,0,0,0,1,0
L520,13,15,0,1,0,0,0
L520,13,15,0,0,0,1,0
L520,15,17,0,1,0,0,0
L520,15,17,0,0,0,1,0
L324,15,17,0,1,0,0,0
L324,15,17,0,0,0,1,0
L520,17,19,0,1,0,0,0
L520,17,19,0,0,0,1,0
L332,19,21,0,1,0,0,0
L332,19,21,0,0,0,1,0
K126,13,17,0,0,1,0,0
L526,7,9,0,0,1,0,0
L526,7,9,0,0,0,0,1
L522,7,9,0,0,1,0,0
L522,7,9,0,0,0,0,1
L224,9,11,0,0,1,0,0
L224,9,11,0,0,0,0,1
K123,13,17,0,0,0,1,0
L422,11,15,0,0,0,0,1
L408,7,11,0,0,0,1,0
L504,15,17,0,0,0,0,1
L442,17,19,0,0,0,0,1
L504,19,21,0,0,0,0,1
L324,7,9,1,0,0,0,0
L332,7,9,1,0,0,0,0
L454,9,11,1,0,0,0,0
L324,9,11,1,0,0,0,0
L332,11,13,1,0,0,0,0
L530,13,15,1,0,0,0,0
L330,13,15,1,0,0,0,0
L454,15,17,1,0,0,0,0
L428,7,9,0,1,0,0,0
L506,9,11,0,1,0,0,0
L330,9,11,0,1,0,0,0
L332,11,13,0,1,0,0,0
L442,13,15,0,1,0,0,0
K123,15,17,0,1,0,0,0
L332,7,9,0,0,1,0,0
L442,7,9,0,0,1,0,0
L324,9,11,0,0,1,0,0
L428,9,11,0,0,1,0,0
L464,13,15,0,0,1,0,0
L328,7,9,0,0,0,1,0
L330,9,11,0,0,0,1,0
L332,11,13,0,0,0,1,0
L332,13,15,0,0,0,1,0
L310,15,17,0,0,0,1,0
L442,17,19,0,0,0,1,0
L450,19,21,0,0,0,1,0
L332,21,23,0,0,0,1,0
L218,7,9,0,0,0,0,1
L332,7,9,0,0,0,0,1
L332,9,11,0,0,0,0,1
L454,9,11,0,0,0,0,1
L508,11,13,0,0,0,0,1
L454,11,13,0,0,0,0,1
L330,13,15,0,0,0,0,1
L464,11,13,1,0,0,0,0
L528,11,13,1,0,0,0,0
L328,11,13,0,0,0,1,0
L408,13,15,0,0,0,1,0
L324,11,13,0,0,0,0,1
L328,7,9,0,0,0,0,1
L324,9,11,0,0,0,0,1
DPTO,19,21,0,0,0,1,0
L118,7,9,1,0,0,0,0
K128,9,11,1,0,0,0,0
K128,7,9,0,0,1,0,0
K128,9,11,0,0,1,0,0
K128,11,13,0,0,1,0,0
K128,7,9,0,0,0,0,1
K128,9,11,0,0,0,0,1
K128,11,13,0,0,0,0,1
L456,9,11,1,0,0,0,0
F201A,11,13,1,0,0,0,0
F202,13,15,1,0,0,0,0
L428,19,21,1,0,0,0,0
L332,21,23,0,1,0,0,0
L428,17,19,0,0,0,1,0
L324,19,21,0,0,0,1,0
L330,21,23,0,0,0,1,0
L442,7,9,0,0,0,0,1
L330,7,9,0,0,0,0,1
L330,9,11,0,0,0,0,1
L330,11,13,0,0,0,0,1
K123,13,15,1,0,0,0,0
L110,13,15,1,0,0,0,0
L332,15,17,1,0,0,0,0
L442,9,11,0,0,0,0,1
L224,11,13,0,0,0,0,1
L324,13,15,0,0,0,0,1
L518,7,9,1,0,0,0,0
F406,19,21,1,0,0,0,0
L518,19,21,0,1,0,0,0
L250,7,9,0,0,0,0,1
L214,11,13,0,0,0,0,1
L508,9,11,0,0,0,1,0
IMA1,13,19,0,1,0,0,0
IMA1,13,17,0,0,0,1,0
IMA1,13,19,0,0,1,0,0
IMA1,13,17,0,0,0,0,1
ARTE5,13,19,0,1,0,0,0
ARTE5,13,17,0,0,0,1,0
ARTE4,13,19,0,0,1,0,0
ARTE4,13,17,0,0,0,0,1
L532,13,19,0,1,0,0,0
L532,13,17,0,0,0,1,0
ARTE1,13,19,0,1,0,0,0
ARTE1,13,17,0,0,0,1,0
L260,13,19,0,1,0,0,0
L260,13,17,0,0,0,1,0
L232,13,19,0,1,0,0,0
L232,13,17,0,0,0,1,0
L532,13,19,0,0,1,0,0
L532,13,17,0,0,0,0,1
ARTE1,13,19,0,0,1,0,0
ARTE5,13,17,0,0,0,0,1
L232,13,19,0,0,1,0,0
L232,13,17,0,0,0,0,1
L260,13,19,0,0,1,0,0
L260,13,17,0,0,0,0,1
I004,7,13,1,0,0,0,0
I004,7,11,0,0,1,0,0
L232,7,13,1,0,0,0,0
L232,7,11,0,0,1,0,0
L260,7,13,1,0,0,0,0
L260,7,11,0,0,1,0,0
ARTE1,7,13,1,0,0,0,0
ARTE1,7,11,0,0,1,0,0
IMA1,7,13,1,0,0,0,0
IMA1,7,11,0,0,1,0,0
ARTE2,7,13,1,0,0,0,0
ARTE2,7,11,0,0,1,0,0
L532,7,13,1,0,0,0,0
L532,7,11,0,0,1,0,0
ARTE5,7,13,1,0,0,0,0
ARTE5,7,11,0,0,1,0,0
ARTE4,7,13,1,0,0,0,0
ARTE4,7,11,0,0,1,0,0
ARTE3,7,13,1,0,0,0,0
ARTE3,7,11,0,0,1,0,0
L260,11,13,0,1,0,0,0
IMA1,11,13,0,1,0,0,0
IMA1,7,11,0,1,0,0,0
IMA1,7,13,0,0,0,1,0
ARTE3,7,11,0,1,0,0,0
ARTE3,7,13,0,0,0,1,0
L260,7,11,0,1,0,0,0
L260,7,13,0,0,0,0,1
L232,7,11,0,1,0,0,0
L232,7,13,0,0,0,0,1
L532,7,11,0,1,0,0,0
L532,7,13,0,0,0,1,0
ARTE2,7,11,0,1,0,0,0
ARTE2,7,13,0,0,0,0,1
LAB,7,11,0,1,0,0,0
LAB,7,13,0,0,0,1,0
LAB,7,11,0,0,1,0,0
ARTE5,7,11,0,0,0,0,1
I003,7,11,0,1,0,0,0
I003,7,13,0,0,0,1,0
L664,7,11,0,1,0,0,0
LAB,7,13,0,0,0,0,1
L328,17,19,0,0,0,1,0
L328,17,19,0,1,0,0,0
L532,17,19,0,0,0,1,0
L328,13,15,0,0,0,0,1
L570,9,11,0,0,0,1,0
L504,11,13,0,1,0,0,0
L664,9,11,0,0,1,0,0
L506,15,17,0,1,0,0,0
ARTE2,7,9,0,0,0,1,0
IMA2,7,9,0,0,0,0,1
I003,11,13,0,0,1,0,0
L120,7,9,0,0,0,1,0
L452,7,9,0,1,0,0,0
L506,7,9,0,0,0,1,0
L508,15,17,0,0,0,1,0
F400A,13,15,0,0,0,1,0
L120,11,13,1,0,0,0,0
L428,11,13,0,0,1,0,0
ARTE1,9,11,0,0,0,1,0
L510,7,9,0,0,1,0,0
ARTE5,15,17,0,0,1,0,0
ARTE5,13,15,0,0,1,0,0
ARTE3,15,17,0,0,1,0,0
ARTE3,13,15,0,0,1,0,0
ARTE1,15,17,1,0,0,0,0
ARTE1,13,15,1,0,0,0,0
L260,13,15,1,0,0,0,0
IMA2,11,13,1,0,0,0,0
IMA2,13,15,0,0,0,1,0
ARTE4,15,17,0,0,0,1,0
I003,11,13,0,1,0,0,0
IMA2,13,15,0,0,0,0,1
ARTE1,17,19,0,0,0,1,0
ARTE1,17,19,1,0,0,0,0
LAB,11,13,0,0,0,1,0
LAB,15,17,0,0,1,0,0
LAB,9,11,0,0,0,1,0
L260,11,13,0,0,0,1,0
LAB,15,17,0,1,0,0,0
L120,9,11,0,1,0,0,0
I004,7,9,0,0,0,0,1
ARTE2,17,19,0,1,0,0,0
